Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
39,C Chandler Smith PR,468.6625,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5W,Cup Series Chandler Smith Primary,,,,
40,C Zane Smith PR,463.3125,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5W,Cup Series Zane Smith Primary,,,,
41,C Justin Allgaier PR,457.8875,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5W,Cup Series Justin Allgaier Primary,,,,
42,C Cole Custer PR,469.1375,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5W,Cup Series Cole Custer Primary,,,,
43,C John Hunter Nemecheck PR,460.1625,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5W,Cup Series John Hunter Nemecheck Primary,,,,
44,C Erik Jones PR,463.3375,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5W,Cup Series Erik Jones Primary,,,,
45,C JJ Yeley PR,456.7750,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5W,Cup Series JJ Yeley Primary,,,,
46,C Tyler Reddick PR,467.5375,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5W,Cup Series Tyler Reddick Primary,,,,
47,C Ricky Stenhouse Jr PR,457.6500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5W,Cup Series Ricky Stenhouse Jr Primary,,,,
48,C Alex Bowman PR,451.2000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5W,Cup Series Alex Bowman Primary,,,,
49,C Cody Ware PR,466.2250,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5W,Cup Series Cody Ware Primary,,,,
50,C Ty Gibbs PR,467.4500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5W,Cup Series Ty Gibbs Primary,,,,
51,C Ryan Preece PR,468.9500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5W,Cup Series Ryan Preece Primary,,,,
52,C Anthony Alfredo PR,451.3250,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5W,Cup Series Anthony Alfredo Primary,,,,
53,C Casey Mears PR,458.5375,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5W,Cup Series Casey Mears Primary,,,,
54,C Corey Heim PR,467.8125,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5W,Cup Series Corey Heim Primary,,,,
55,C Michael McDowell PR,459.0375,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5W,Cup Series Michael McDowell Primary,,,,
56,C Carson Hocevar PR,458.2125,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5W,Cup Series Carson Hocevar Primary,,,,
57,C BJ McLeod PR,467.7500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5W,Cup Series BJ McLeod Primary,,,,
58,C Jimmie Johnson PR,460.2375,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5W,Cup Series Jimmie Johnson Primary,,,,
