Car,Driver,Primary,Tone,Secondary,Tone,Other,Tone
1,TRICON,460.6250,,452.8875,,,
2,Jason White,463.3625,,467.1250,,,
4,Cleetus McFarland,468.9875,,469.4625,,,
5,Nick Leitz,468.5125,,464.0250,,,
6,Norm Benning,453.2375,,469.1375,,,
7,Michael McDowell,462.3750,,463.7500,,,
9,Grant Enfinger,451.6250,,457.2125,,,
10,Daniel Dye,459.5750,,465.9625,,,
11,Kaden Honeycutt,463.7375,,459.0125,,,
12,Brenden Queen,466.1375,,459.7500,,,
13,Cole Butcher,460.5125,,462.8875,,,
14,Timothy Tyrrell,461.7250,,462.7125,,,
15,Tanner Gray,458.6625,,458.8125,,,
16,Justin Haley,468.0250,,465.3750,,,
17,Gio Ruggiero,460.7750,,467.4250,,,
18,Tyler Ankrum,456.8250,,463.2125,,,
19,Daniel Hemric,452.3625,,463.5500,,,
22,Josh Reaume,456.6625,,450.1125,,,
25,Tony Stewart,462.2500,,463.0125,,,
26,Dawson Sutton,464.5625,,466.5875,,,
27,Toni Breidinger,459.8125,,457.4250,,,
28,Bryan Dauzat,452.1125,,457.1125,,,
33,Frankie Muniz,460.4750,,458.0875,,,
34,Layne Riggs,467.8500,,469.1000,,,
35,Greg Van Alst,453.8500,,464.9500,,,
38,Chandler Smith,468.6625,,467.9250,,,
42,Travis Pastrana,467.2375,,464.1750,,,
44,Andres De Lara,462.9875,,463.1875,,,
45,Ricky Stenhouse Jr,463.7250,,457.8125,,,
52,Stewart Friesen,468.1625,,462.4125,,,
56,Timmy Hill,451.5625,,451.5125,,,
62,John Nemechek,469.9250,,468.1125,,,
69,Tyler Tomassi,458.5375,,467.6875,,,
71,SPIRE,468.4000,,469.0250,,,
75,Cory LaJoie,462.0750,,469.7250,,,
76,Spencer Boyd,467.6625,,469.4375,,,
77,Carson Hocevar,469.5875,,463.6125,,,
81,Kris Wright,457.2875,,457.0375,,,
88,Ty Majeski,461.6750,,468.3750,,,
90,Justin Carroll,461.3250,,462.3250,,,
91,Christian Eckes,466.6250,,457.3500,,,
95,Clay Greenfield,466.7000,,466.3875,,,
97,Jason Kitzmiller,451.0375,,456.4125,,,
98,Jake Garcia,457.0250,,456.5000,,,
99,Ben Rhodes,456.9375,,468.0375,,,
