title,tx_freq,rx_freq,tx_sub_audio(CTCSS=freq/DCS=number),rx_sub_audio(CTCSS=freq/DCS=number),tx_power(H/M/L),bandwidth(12500/25000),scan(0=OFF/1=ON),talk around(0=OFF/1=ON),pre_de_emph_bypass(0=OFF/1=ON),sign(0=OFF/1=ON),tx_dis(0=OFF/1=ON),mute(0=OFF/1=ON),rx_modulation(0=FM/1=AM),tx_modulation(0=FM/1=AM)
,,,,,,,,,,,,,,
Ross Chastain,463237500,463237500,,,H,25000,1,0,0,0,0,0,0,0
Austin Cindric,464187500,464187500,,,H,25000,1,0,0,0,0,0,0,0
Austin Dillon,469012500,469012500,,,H,25000,1,0,0,0,0,0,0,0
Noah Gragson,468650000,468650000,,,H,25000,1,0,0,0,0,0,0,0
Kyle Larson,465862500,465862500,,,H,25000,1,0,0,0,0,0,0,0
Brad Keselowski,466275000,466275000,,,H,25000,1,0,0,0,0,0,0,0
Daniel Suarez,469587500,469587500,,,H,25000,1,0,0,0,0,0,0,0
Kyle Busch,468600000,468600000,,,H,25000,1,0,0,0,0,0,0,0
Chase Elliott,461987500,461987500,,,H,25000,1,0,0,0,0,0,0,0
Ty Dillon,465112500,465112500,,,H,25000,1,0,0,0,0,0,0,0
Denny Hamlin,467475000,467475000,,,H,25000,1,0,0,0,0,0,0,0
Ryan Blaney,464700000,464700000,,,H,25000,1,0,0,0,0,0,0,0
AJ Allmendinger,467987500,467987500,,,H,25000,1,0,0,0,0,0,0,0
Chris Buescher,460950000,460950000,,,H,25000,1,0,0,0,0,0,0,0
Chase Briscoe,458175000,458175000,,,H,25000,1,0,0,0,0,0,0,0
Christopher Bell,466012500,466012500,,,H,25000,1,0,0,0,0,0,0,0
Josh Berry,465887500,465887500,,,H,25000,1,0,0,0,0,0,0,0
Joey Logano,464825000,464825000,,,H,25000,1,0,0,0,0,0,0,0
Bubba Wallace,463087500,463087500,,,H,25000,1,0,0,0,0,0,0,0
William Byron,453050000,453050000,,,H,25000,1,0,0,0,0,0,0,0
Todd Gilliland,467112500,467112500,,,H,25000,1,0,0,0,0,0,0,0
Riley Herbst,458900000,458900000,,,H,25000,1,0,0,0,0,0,0,0
Chandler Smith,468662500,468662500,,,H,25000,1,0,0,0,0,0,0,0
Zane Smith,463312500,463312500,,,H,25000,1,0,0,0,0,0,0,0
Justin Allgaier,457887500,457887500,,,H,25000,1,0,0,0,0,0,0,0
Cole Custer,469137500,469137500,,,H,25000,1,0,0,0,0,0,0,0
John Hunter Nemecheck,460162500,460162500,,,H,25000,1,0,0,0,0,0,0,0
Erik Jones,463337500,463337500,,,H,25000,1,0,0,0,0,0,0,0
JJ Yeley,456775000,456775000,,,H,25000,1,0,0,0,0,0,0,0
