title,tx_freq,rx_freq,tx_sub_audio(CTCSS=freq/DCS=number),rx_sub_audio(CTCSS=freq/DCS=number),tx_power(H/M/L),bandwidth(12500/25000),scan(0=OFF/1=ON),talk around(0=OFF/1=ON),pre_de_emph_bypass(0=OFF/1=ON),sign(0=OFF/1=ON),tx_dis(0=OFF/1=ON),mute(0=OFF/1=ON),rx_modulation(0=FM/1=AM),tx_modulation(0=FM/1=AM)
,,,,,,,,,,,,,,
TRICON,452887500,452887500,,,H,25000,1,0,0,0,0,0,0,0
Jason White,467125000,467125000,,,H,25000,1,0,0,0,0,0,0,0
Cleetus McFarland,469462500,469462500,,,H,25000,1,0,0,0,0,0,0,0
Nick Leitz,464025000,464025000,,,H,25000,1,0,0,0,0,0,0,0
Norm Benning,469137500,469137500,,,H,25000,1,0,0,0,0,0,0,0
Michael McDowell,463750000,463750000,,,H,25000,1,0,0,0,0,0,0,0
Grant Enfinger,457212500,457212500,,,H,25000,1,0,0,0,0,0,0,0
Daniel Dye,465962500,465962500,,,H,25000,1,0,0,0,0,0,0,0
Kaden Honeycutt,459012500,459012500,,,H,25000,1,0,0,0,0,0,0,0
Brenden Queen,459750000,459750000,,,H,25000,1,0,0,0,0,0,0,0
Cole Butcher,462887500,462887500,,,H,25000,1,0,0,0,0,0,0,0
Timothy Tyrrell,462712500,462712500,,,H,25000,1,0,0,0,0,0,0,0
Tanner Gray,458812500,458812500,,,H,25000,1,0,0,0,0,0,0,0
Justin Haley,465375000,465375000,,,H,25000,1,0,0,0,0,0,0,0
Gio Ruggiero,467425000,467425000,,,H,25000,1,0,0,0,0,0,0,0
Tyler Ankrum,463212500,463212500,,,H,25000,1,0,0,0,0,0,0,0
Daniel Hemric,463550000,463550000,,,H,25000,1,0,0,0,0,0,0,0
Josh Reaume,450112500,450112500,,,H,25000,1,0,0,0,0,0,0,0
Tony Stewart,463012500,463012500,,,H,25000,1,0,0,0,0,0,0,0
Dawson Sutton,466587500,466587500,,,H,25000,1,0,0,0,0,0,0,0
Toni Breidinger,457425000,457425000,,,H,25000,1,0,0,0,0,0,0,0
Bryan Dauzat,457112500,457112500,,,H,25000,1,0,0,0,0,0,0,0
Frankie Muniz,458087500,458087500,,,H,25000,1,0,0,0,0,0,0,0
Layne Riggs,469100000,469100000,,,H,25000,1,0,0,0,0,0,0,0
Greg Van Alst,464950000,464950000,,,H,25000,1,0,0,0,0,0,0,0
Chandler Smith,467925000,467925000,,,H,25000,1,0,0,0,0,0,0,0
Travis Pastrana,464175000,464175000,,,H,25000,1,0,0,0,0,0,0,0
Andres De Lara,463187500,463187500,,,H,25000,1,0,0,0,0,0,0,0
Ricky Stenhouse Jr,457812500,457812500,,,H,25000,1,0,0,0,0,0,0,0
